med school,senior leadership,Med Faculty leadership
0.878787878787879,0.55555556,0.460992907801418
0.967741935483871,0.75,0.386666666666667
0.8,0.75,0.536231884057971
0.888888888888889,0.80769231,0.480769230769231
0.827586206896552,0.72727273,0.403846153846154
0.8125,0.5,0.540540540540541
0.878787878787879,0.5625,0.483333333333333
0.555555555555556,0.63636364,0.5
0.80952380952381,0.625,0.52
0.76,0.57142857,0.563829787234043
0.705882352941177,0.57142857,0.4
0.704545454545455,0.625,0.5
0.794117647058823,0.77777778,0.482269503546099
0.823529411764706,0.5,0.51063829787234
0.789473684210526,0.46153846,0.414634146341463
0.851851851851852,0.76923077,0.467741935483871
0.8125,0.61538462,0.558139534883721
0.731707317073171,0.66666667,0.442748091603053
0.810810810810811,0.45833333,0.479166666666667
0.91304347826087,0.7,0.505376344086022
0.625,0.72727273,0.523809523809524
0.738461538461539,0.66666667,0.492753623188406
0.928571428571429,0.57894737,0.529411764705882
0.739130434782609,0.4,0.394366197183099
0.852941176470588,0.6,0.462585034013605
